Description,Population,Male,Female,Household
Settled in rural areas,"34,830","17,951","16,879","10,605"
Unsettled ,0,0,0,0
Divandarreh  ,"80,040","40,810","39,230","21,216"
Setteled in urban areas,"36,098","18,279","17,819","9,992"
Settled in rural areas,"43,941","22,530","21,411","11,223"
Unsettled ,1,1,0,1
Sarvabad  ,"44,940","22,884","22,056","13,475"
Setteled in urban areas,"8,297","4,256","4,041","2,409"
Settled in rural areas,"36,643","18,628","18,015","11,066"
Unsettled ,0,0,0,0
Saqqez  ,"226,451","113,925","112,526","64,384"
Setteled in urban areas,"168,359","84,513","83,846","49,288"
Settled in rural areas,"58,092","29,412","28,680","15,096"
Unsettled ,0,0,0,0
Sanandaj  ,"501,402","253,347","248,055","152,532"
Setteled in urban areas,"414,069","208,768","205,301","126,630"
Settled in rural areas,"87,331","44,577","42,754","25,900"
Unsettled ,2,2,0,2
Qorveh  ,"140,192","70,865","69,327","42,905"
Setteled in urban areas,"94,404","47,444","46,960","29,063"
Settled in rural areas,"45,788","23,421","22,367","13,842"
Unsettled ,0,0,0,0
Kamyaran  ,"102,856","52,709","50,147","30,276"
Setteled in urban areas,"60,447","31,037","29,410","17,594"
Settled in rural areas,"42,409","21,672","20,737","12,682"
Unsettled ,0,0,0,0
Marivan  ,"195,263","99,956","95,307","55,603"
Setteled in urban areas,"151,188","77,123","74,065","43,519"
Settled in rural areas,"44,074","22,832","21,242","12,083"
Unsettled ,1,1,0,1
           Kerman ,"3,164,718","1,617,688","1,547,030","932,721"
Setteled in urban areas,"1,858,587","948,571","910,016","551,141"
Settled in rural areas,"1,302,557","667,240","635,317","380,287"
Unsettled ,"3,574","1,877","1,697","1,293"
Arzooeyeh ,"38,510","19,502","19,008","11,142"
Setteled in urban areas,"6,868","3,493","3,375","1,958"
Settled in rural areas,"31,642","16,009","15,633","9,184"
Unsettled ,0,0,0,0
Anar ,"36,897","19,177","17,720","10,918"
Setteled in urban areas,"19,945","10,222","9,723","5,948"
Settled in rural areas,"16,952","8,955","7,997","4,970"
Unsettled ,0,0,0,0
Baft  ,"84,103","42,409","41,694","26,543"
Setteled in urban areas,"39,034","19,605","19,429","11,479"
Settled in rural areas,"44,498","22,510","21,988","14,852"
Unsettled ,571,294,277,212
Bardsir  ,"81,983","41,675","40,308","25,315"
Setteled in urban areas,"45,860","23,267","22,593","14,125"
Settled in rural areas,"35,227","17,958","17,269","10,877"
Unsettled ,896,450,446,313
Bam  ,"228,241","117,868","110,373","71,338"
Setteled in urban areas,"150,157","76,789","73,368","46,429"
Settled in rural areas,"77,265","40,637","36,628","24,607"
Unsettled ,819,442,377,302
Jiroft  ,"308,858","157,935","150,923","92,937"
Setteled in urban areas,"153,153","78,618","74,535","46,543"
Settled in rural areas,"155,698","79,314","76,384","46,392"
Unsettled ,7,3,4,2
Rabar ,"35,362","17,762","17,600","11,513"
Setteled in urban areas,"14,715","7,373","7,342","4,511"
Settled in rural areas,"20,531","10,328","10,203","6,967"
Unsettled ,116,61,55,35
Ravar  ,"43,198","21,666","21,532","13,281"
Setteled in urban areas,"23,736","11,869","11,867","7,187"
Settled in rural areas,"19,462","9,797","9,665","6,094"
Unsettled ,0,0,0,0
Rafsanjan  ,"311,214","162,723","148,491","91,511"
Setteled in urban areas,"183,263","94,979","88,284","53,316"
Settled in rural areas,"127,222","67,352","59,870","37,904"
Unsettled ,729,392,337,291
Rudbar-e-Jonub ,"105,992","53,214","52,778","27,428"
Setteled in urban areas,"21,582","10,816","10,766","5,576"
Settled in rural areas,"84,410","42,398","42,012","21,852"
Unsettled ,0,0,0,0
Reegan,"88,410","45,118","43,292","23,983"
Setteled in urban areas,"27,930","14,419","13,511","6,697"
Settled in rural areas,"60,479","30,698","29,781","17,285"
Unsettled ,1,1,0,1
Zarand,"138,133","69,682","68,451","39,451"
Setteled in urban areas,"73,185","37,018","36,167","20,384"
Settled in rural areas,"64,948","32,664","32,284","19,067"
Unsettled ,0,0,0,0
Sirjan ,"324,103","167,426","156,677","95,357"
Setteled in urban areas,"246,308","126,395","119,913","72,505"
Settled in rural areas,"77,785","41,024","36,761","22,844"
Unsettled ,10,7,3,8
Shahr-e-Babak,"103,975","54,660","49,315","31,483"
Setteled in urban areas,"73,824","38,534","35,290","22,067"
Settled in rural areas,"30,151","16,126","14,025","9,416"
Unsettled ,0,0,0,0
Anbarabad,"82,438","41,490","40,948","23,409"
Setteled in urban areas,"25,185","12,644","12,541","7,265"
Settled in rural areas,"57,253","28,846","28,407","16,144"
Unsettled ,0,0,0,0
Faryab,"34,000","17,026","16,974","9,817"
Setteled in urban areas,"4,863","2,379","2,484","1,343"
Settled in rural areas,"29,137","14,647","14,490","8,474"
Unsettled ,0,0,0,0
Fahraj,"67,096","34,750","32,346","17,195"
Setteled in urban areas,"6,876","3,327","3,549","1,850"
Settled in rural areas,"59,866","31,237","28,629","15,244"
Unsettled ,354,186,168,101
Qaleh-Ganj ,"76,495","37,989","38,506","20,521"
Setteled in urban areas,"13,169","6,542","6,627","3,638"
Settled in rural areas,"63,326","31,447","31,879","16,883"
Unsettled ,0,0,0,0
Kerman ,"738,724","375,918","362,806","222,356"
Setteled in urban areas,"632,162","321,135","311,027","191,139"
Settled in rural areas,"106,525","54,760","51,765","31,198"
Unsettled ,37,23,14,19
Kahnuj,"95,848","48,479","47,369","26,276"
Setteled in urban areas,"52,624","26,907","25,717","14,394"
Settled in rural areas,"43,224","21,572","21,652","11,882"
Unsettled ,0,0,0,0
Kohbonan,"21,205","10,751","10,454","6,413"
Setteled in urban areas,"15,304","7,734","7,570","4,553"
Settled in rural areas,"5,876","3,005","2,871","1,853"
Unsettled ,25,12,13,7
Manujan,"65,705","32,833","32,872","18,352"
Setteled in urban areas,"21,196","10,554","10,642","5,946"
Settled in rural areas,"44,500","22,273","22,227","12,404"
Unsettled ,9,6,3,2
Narmashir,"54,228","27,635","26,593","16,182"
Setteled in urban areas,"7,648","3,952","3,696","2,288"
Settled in rural areas,"46,580","23,683","22,897","13,894"
Unsettled ,0,0,0,0
            Kermanshah,"1,952,434","988,015","964,419","576,861"
Setteled in urban areas,"1,468,615","737,322","731,293","440,604"
Settled in rural areas,"478,444","247,804","230,640","134,915"
Unsettled ,"5,375","2,889","2,486","1,342"
Eslamabad-E-Gharb ,"140,876","71,369","69,507","40,911"
Setteled in urban areas,"91,876","46,404","45,472","26,880"
Settled in rural areas,"48,340","24,586","23,754","13,860"
Unsettled ,660,379,281,171
Paveh,"60,431","30,459","29,972","18,471"
Setteled in urban areas,"36,103","18,172","17,931","11,138"
Settled in rural areas,"24,328","12,287","12,041","7,333"
Unsettled ,0,0,0,0
Salas-e-Babajani ,"35,219","17,988","17,231","9,270"
Setteled in urban areas,"16,203","8,345","7,858","4,411"
Settled in rural areas,"18,869","9,566","9,303","4,830"
Unsettled ,147,77,70,29
Javanrud ,"75,169","38,294","36,875","20,592"
Setteled in urban areas,"54,354","27,541","26,813","15,010"
Settled in rural areas,"20,815","10,753","10,062","5,582"
Unsettled ,0,0,0,0
Dalahu ,"35,987","17,887","18,100","10,266"
Setteled in urban areas,"15,755","7,822","7,933","4,662"
Settled in rural areas,"20,066","9,977","10,089","5,563"
Unsettled ,166,88,78,41
Ravansar,"47,657","24,380","23,277","13,790"
Setteled in urban areas,"28,085","14,299","13,786","8,171"
Settled in rural areas,"19,546","10,066","9,480","5,610"
Unsettled ,26,15,11,9
Sar-e-pol-e-Zahab ,"85,342","42,874","42,468","23,696"
Setteled in urban areas,"45,481","22,886","22,595","12,850"
Settled in rural areas,"39,726","19,915","19,811","10,809"
Unsettled ,135,73,62,37
Sonqor,"81,661","41,185","40,476","25,554"
Setteled in urban areas,"45,304","22,781","22,523","14,321"
Settled in rural areas,"36,343","18,396","17,947","11,230"
Unsettled ,14,8,6,3
Sahneh ,"70,757","35,715","35,042","21,788"
Setteled in urban areas,"36,203","18,246","17,957","11,191"
Settled in rural areas,"34,325","17,348","16,977","10,541"
Unsettled ,229,121,108,56
Qasr-e-Shirin ,"23,929","12,747","11,182","6,903"
Setteled in urban areas,"18,653","9,704","8,949","5,482"
Settled in rural areas,"4,606","2,678","1,928","1,251"
Unsettled ,670,365,305,170
Kermanshah,"1,083,833","548,326","535,507","323,291"
Setteled in urban areas,"952,285","477,010","475,275","288,109"
Settled in rural areas,"129,719","70,342","59,377","34,723"
Unsettled ,"1,829",974,855,459
Kangavar,"76,216","38,417","37,799","23,253"
Setteled in urban areas,"53,981","27,031","26,950","16,597"
Settled in rural areas,"21,462","10,986","10,476","6,474"
Unsettled ,773,400,373,182
Gilan-e-Gharb,"57,007","28,830","28,177","16,570"
Setteled in urban areas,"25,244","12,594","12,650","7,473"
Settled in rural areas,"31,211","15,938","15,273","8,957"
Unsettled ,552,298,254,140
Harsin  ,"78,350","39,544","38,806","22,506"
Setteled in urban areas,"49,088","24,487","24,601","14,309"
Settled in rural areas,"29,088","14,966","14,122","8,152"
Unsettled ,174,91,83,45
         Kohgiluyeh & Boyerahmad,"713,052","361,386","351,666","186,320"
Setteled in urban areas,"397,461","201,681","195,780","103,270"
Settled in rural areas,"314,009","158,861","155,148","82,558"
Unsettled ,"1,582",844,738,492
Basht,"21,690","10,826","10,864","5,781"
Setteled in urban areas,"10,764","5,378","5,386","2,831"
Settled in rural areas,"10,844","5,403","5,441","2,926"
Unsettled ,82,45,37,24
Bahmaee,"38,136","19,406","18,730","10,028"
Setteled in urban areas,"19,857","10,090","9,767","5,091"
Settled in rural areas,"17,869","9,090","8,779","4,818"
Unsettled ,410,226,184,119
Boyerahmad ,"299,885","152,996","146,889","77,569"
Setteled in urban areas,"157,454","80,361","77,093","40,330"
Settled in rural areas,"142,298","72,564","69,734","37,198"
Unsettled ,133,71,62,41
Cheram,"33,543","16,811","16,732","8,890"
Setteled in urban areas,"17,213","8,592","8,621","4,465"
Settled in rural areas,"16,330","8,219","8,111","4,425"
Unsettled ,0,0,0,0
Dena,"42,539","21,467","21,072","11,706"
Setteled in urban areas,"10,139","5,187","4,952","2,829"
Settled in rural areas,"32,398","16,279","16,119","8,876"
Unsettled ,2,1,1,1
Kohgiluyeh ,"131,351","66,203","65,148","32,457"
Setteled in urban areas,"72,534","36,822","35,712","17,748"
Settled in rural areas,"58,588","29,250","29,338","14,642"
Unsettled ,229,131,98,67
Gachsaran ,"124,096","62,713","61,383","34,329"
Setteled in urban areas,"96,728","48,824","47,904","26,770"
Settled in rural areas,"26,642","13,519","13,123","7,319"
Unsettled ,726,370,356,240
Lande,"21,812","10,964","10,848","5,560"
Setteled in urban areas,"12,772","6,427","6,345","3,206"
Settled in rural areas,"9,040","4,537","4,503","2,354"
Unsettled ,0,0,0,0
           Golestan,"1,868,819","938,327","930,492","550,249"
Setteled in urban areas,"995,615","498,014","497,601","301,273"
Settled in rural areas,"871,546","439,373","432,173","248,422"
Unsettled ,"1,658",940,718,554
Azadshahr ,"96,803","48,384","48,419","28,965"
Setteled in urban areas,"54,887","27,423","27,464","16,509"
Settled in rural areas,"41,915","20,960","20,955","12,455"
Unsettled ,1,1,0,1
Aq Qala,"132,733","66,535","66,198","35,989"
Setteled in urban areas,"42,119","21,175","20,944","11,458"
Settled in rural areas,"90,614","45,360","45,254","24,531"
Unsettled ,0,0,0,0
Bandar Gaz ,"46,130","23,113","23,017","15,247"
Setteled in urban areas,"27,392","13,786","13,606","9,031"
Settled in rural areas,"18,738","9,327","9,411","6,216"
Unsettled ,0,0,0,0
Torkaman ,"79,978","40,231","39,747","21,315"
Setteled in urban areas,"53,970","27,209","26,761","14,512"
Settled in rural areas,"26,008","13,022","12,986","6,803"
Unsettled ,0,0,0,0
Ramyan ,"86,210","43,083","43,127","25,579"
Setteled in urban areas,"36,270","18,194","18,076","10,870"
Settled in rural areas,"49,939","24,888","25,051","14,708"
Unsettled ,1,1,0,1
Aliabad ,"140,709","70,385","70,324","42,725"
Setteled in urban areas,"80,511","40,086","40,425","25,131"
Settled in rural areas,"60,197","30,298","29,899","17,593"
Unsettled ,1,1,0,1
Kordkuy ,"71,270","35,970","35,300","23,510"
Setteled in urban areas,"39,881","20,259","19,622","12,971"
Settled in rural areas,"31,389","15,711","15,678","10,539"
Unsettled ,0,0,0,0
Kalaleh,"117,319","58,836","58,483","32,998"
Setteled in urban areas,"41,953","20,894","21,059","11,956"
Settled in rural areas,"75,366","37,942","37,424","21,042"
Unsettled ,0,0,0,0
Galikesh,"63,173","31,664","31,509","18,721"
Setteled in urban areas,"23,394","11,737","11,657","6,996"
Settled in rural areas,"39,779","19,927","19,852","11,725"
Unsettled ,0,0,0,0
Gorgan,"480,541","241,700","238,841","150,649"
Setteled in urban areas,"365,682","182,300","183,382","115,841"
Settled in rural areas,"114,837","59,390","55,447","34,798"
Unsettled ,22,10,12,10
Gomishan,"68,773","34,715","34,058","18,474"
Setteled in urban areas,"36,396","18,409","17,987","9,622"
Settled in rural areas,"32,376","16,305","16,071","8,851"
Unsettled ,1,1,0,1
Gonbad-e-Kavus ,"348,744","175,480","173,264","97,147"
Setteled in urban areas,"154,404","77,040","77,364","45,324"
Settled in rural areas,"193,671","98,040","95,631","51,547"
Unsettled ,669,400,269,276
Marave-Tapeh,"60,953","30,427","30,526","16,211"
Setteled in urban areas,"8,671","4,239","4,432","2,072"
Settled in rural areas,"51,319","25,662","25,657","13,875"
Unsettled ,963,526,437,264
Minudasht,"75,483","37,804","37,679","22,719"
Setteled in urban areas,"30,085","15,263","14,822","8,980"
Settled in rural areas,"45,398","22,541","22,857","13,739"
Unsettled ,0,0,0,0
             Gilan,"2,530,696","1,267,597","1,263,099","851,382"
Setteled in urban areas,"1,603,026","797,470","805,556","537,417"
Settled in rural areas,"927,660","470,117","457,543","313,957"
Unsettled ,10,10,0,8
Astara ,"91,257","45,858","45,399","28,742"
Setteled in urban areas,"62,814","31,480","31,334","20,014"
Settled in rural areas,"28,443","14,378","14,065","8,728"
Unsettled ,0,0,0,0
Astane-ye-Ashrafiyeh ,"108,130","54,367","53,763","38,824"
Setteled in urban areas,"58,963","29,306","29,657","20,712"
Settled in rural areas,"49,167","25,061","24,106","18,112"
Unsettled ,0,0,0,0
Amlash,"43,225","21,561","21,664","15,306"
Setteled in urban areas,"17,598","8,784","8,814","6,017"
Settled in rural areas,"25,627","12,777","12,850","9,289"
Unsettled ,0,0,0,0
Bandar Anzali ,"139,016","69,228","69,788","48,193"
Setteled in urban areas,"118,564","58,802","59,762","41,053"
Settled in rural areas,"20,451","10,425","10,026","7,139"
Unsettled ,1,1,0,1
Rasht ,"956,971","478,678","478,293","321,703"
Setteled in urban areas,"748,711","370,733","377,978","251,912"
Settled in rural areas,"208,256","107,941","100,315","69,789"
Unsettled ,4,4,0,2
Rezvanshahr,"69,865","34,974","34,891","22,246"
Setteled in urban areas,"27,535","13,809","13,726","8,748"
Settled in rural areas,"42,330","21,165","21,165","13,498"
Unsettled ,0,0,0,0
Rudbar,"94,720","47,936","46,784","31,146"
Setteled in urban areas,"58,354","29,535","28,819","18,622"
Settled in rural areas,"36,365","18,400","17,965","12,523"
Unsettled ,1,1,0,1
Rudsar ,"147,399","73,711","73,688","51,586"
Setteled in urban areas,"73,709","36,679","37,030","25,340"
Settled in rural areas,"73,689","37,031","36,658","26,245"
Unsettled ,1,1,0,1
Siahkal ,"46,975","23,278","23,697","16,351"
Setteled in urban areas,"21,653","10,703","10,950","7,360"
Settled in rural areas,"25,321","12,574","12,747","8,990"
Unsettled ,1,1,0,1
Shaft,"54,226","27,212","27,014","18,416"
Setteled in urban areas,"10,312","5,150","5,162","3,418"
Settled in rural areas,"43,914","22,062","21,852","14,998"
Unsettled ,0,0,0,0
Sumaehsara ,"125,074","62,317","62,757","41,975"
Setteled in urban areas,"58,658","29,380","29,278","19,185"
Settled in rural areas,"66,416","32,937","33,479","22,790"
Unsettled ,0,0,0,0
Tavalesh,"200,649","101,222","99,427","61,055"
Setteled in urban areas,"78,360","39,428","38,932","24,039"
Settled in rural areas,"122,289","61,794","60,495","37,016"
Unsettled ,0,0,0,0
Fuman,"92,310","46,129","46,181","31,209"
Setteled in urban areas,"37,869","18,875","18,994","12,532"
Settled in rural areas,"54,439","27,252","27,187","18,675"
Unsettled ,2,2,0,2
Lahijan ,"167,544","84,195","83,349","58,378"
Setteled in urban areas,"104,514","51,888","52,626","35,717"
Settled in rural areas,"63,030","32,307","30,723","22,661"
Unsettled ,0,0,0,0
Langrud,"140,686","70,675","70,011","49,351"
Setteled in urban areas,"101,782","51,122","50,660","35,227"
Settled in rural areas,"38,904","19,553","19,351","14,124"
Unsettled ,0,0,0,0
Masal ,"52,649","26,256","26,393","16,901"
Setteled in urban areas,"23,630","11,796","11,834","7,521"
Settled in rural areas,"29,019","14,460","14,559","9,380"
Unsettled ,0,0,0,0
          Lorestan,"1,760,649","892,889","867,760","509,025"
Setteled in urban areas,"1,134,908","570,113","564,795","333,954"
Settled in rural areas,"623,896","321,786","302,110","174,525"
Unsettled ,"1,845",990,855,546
Azna ,"74,936","38,047","36,889","22,411"
Setteled in urban areas,"49,310","24,862","24,448","14,758"
Settled in rural areas,"25,593","13,166","12,427","7,646"
Unsettled ,33,19,14,7
Aligudarz,"137,534","70,579","66,955","38,503"
Setteled in urban areas,"90,799","46,346","44,453","26,068"
Settled in rural areas,"46,546","24,128","22,418","12,384"
Unsettled ,189,105,84,51
Borujerd ,"326,452","163,828","162,624","102,258"
Setteled in urban areas,"240,517","119,964","120,553","75,914"
Settled in rural areas,"85,935","43,864","42,071","26,344"
Unsettled ,0,0,0,0
Poldokhtar,"73,744","37,462","36,282","21,303"
Setteled in urban areas,"34,008","17,145","16,863","9,907"
Settled in rural areas,"39,338","20,109","19,229","11,289"
Unsettled ,398,208,190,107
Khorramabad ,"506,471","255,781","250,690","144,958"
Setteled in urban areas,"380,829","190,255","190,574","111,326"
Settled in rural areas,"124,417","64,868","59,549","33,251"
Unsettled ,"1,225",658,567,381
Delfan ,"143,973","74,215","69,758","40,467"
Setteled in urban areas,"66,417","33,820","32,597","18,886"
Settled in rural areas,"77,556","40,395","37,161","21,581"
Unsettled ,0,0,0,0
Doreh,"41,756","21,467","20,289","11,948"
Setteled in urban areas,"3,800","1,902","1,898","1,097"
Settled in rural areas,"37,956","19,565","18,391","10,851"
Unsettled ,0,0,0,0
Dorud,"174,508","89,090","85,418","50,140"
Setteled in urban areas,"123,861","62,484","61,377","36,138"
Settled in rural areas,"50,647","26,606","24,041","14,002"
Unsettled ,0,0,0,0
Rumeshkan,"39,058","19,737","19,321","10,742"
Setteled in urban areas,"6,125","3,096","3,029","1,614"
Settled in rural areas,"32,933","16,641","16,292","9,128"
Unsettled ,0,0,0,0
Selseleh ,"75,559","38,242","37,317","21,140"
Setteled in urban areas,"36,957","18,666","18,291","10,252"
Settled in rural areas,"38,602","19,576","19,026","10,888"
Unsettled ,0,0,0,0
Kuhdasht ,"166,658","84,441","82,217","45,155"
Setteled in urban areas,"102,285","51,573","50,712","27,994"
Settled in rural areas,"64,373","32,868","31,505","17,161"
Unsettled ,0,0,0,0
             Mazandaran,"3,283,582","1,653,998","1,629,584","1,084,798"
Setteled in urban areas,"1,897,238","949,576","947,662","624,661"
Settled in rural areas,"1,386,337","704,417","681,920","460,131"
Unsettled ,7,5,2,6
Amol ,"401,639","202,502","199,137","133,034"
Setteled in urban areas,"246,355","123,158","123,197","81,433"
Settled in rural areas,"155,284","79,344","75,940","51,601"
Unsettled ,0,0,0,0
Babol ,"531,930","267,777","264,153","174,351"
Setteled in urban areas,"305,578","152,655","152,923","99,688"
Settled in rural areas,"226,351","115,121","111,230","74,662"
Unsettled ,1,1,0,1
Babolsar ,"135,191","67,443","67,748","44,482"
Setteled in urban areas,"75,761","37,350","38,411","24,666"
Settled in rural areas,"59,430","30,093","29,337","19,816"
Unsettled ,0,0,0,0
Behshahr,"168,769","85,319","83,450","55,140"
Setteled in urban areas,"117,420","59,231","58,189","38,299"
Settled in rural areas,"51,349","26,088","25,261","16,841"
Unsettled ,0,0,0,0
Tonkabon ,"166,132","83,213","82,919","56,636"
Setteled in urban areas,"84,747","42,221","42,526","28,740"
Settled in rural areas,"81,384","40,991","40,393","27,895"
Unsettled ,1,1,0,1
Juybar ,"77,576","39,390","38,186","25,278"
Setteled in urban areas,"35,166","17,862","17,304","11,216"
Settled in rural areas,"42,410","21,528","20,882","14,062"
Unsettled ,0,0,0,0
Chalus,"116,542","59,097","57,445","39,105"
Setteled in urban areas,"82,292","41,672","40,620","27,478"
Settled in rural areas,"34,250","17,425","16,825","11,627"
Unsettled ,0,0,0,0
Ramsar ,"74,179","37,220","36,959","25,312"
Setteled in urban areas,"56,713","28,339","28,374","19,316"
Settled in rural areas,"17,466","8,881","8,585","5,996"
Unsettled ,0,0,0,0
Sari ,"504,298","253,451","250,847","165,467"
Setteled in urban areas,"314,529","156,131","158,398","103,475"
Settled in rural areas,"189,766","97,318","92,448","61,990"
Unsettled ,3,2,1,2
Savadkuh ,"43,913","22,197","21,716","14,956"
Setteled in urban areas,"25,678","12,818","12,860","8,446"
Settled in rural areas,"18,235","9,379","8,856","6,510"
Unsettled ,0,0,0,0
Savadkuh-e Shomali,"24,834","12,475","12,359","8,476"
Setteled in urban areas,"8,671","4,421","4,250","2,869"
Settled in rural areas,"16,163","8,054","8,109","5,607"
Unsettled ,0,0,0,0
Seemorgh,"19,376","9,751","9,625","6,636"
Setteled in urban areas,"8,040","4,051","3,989","2,691"
Settled in rural areas,"11,336","5,700","5,636","3,945"
Unsettled ,0,0,0,0
Abbasabad,"52,832","26,865","25,967","17,345"
Setteled in urban areas,"29,405","15,017","14,388","9,656"
Settled in rural areas,"23,427","11,848","11,579","7,689"
Unsettled ,0,0,0,0
Ferydonkenar,"60,031","30,531","29,500","20,066"
Setteled in urban areas,"38,154","19,417","18,737","12,606"
Settled in rural areas,"21,877","11,114","10,763","7,460"
Unsettled ,0,0,0,0
Qaemshahr ,"309,199","155,247","153,952","102,950"
Setteled in urban areas,"215,280","107,271","108,009","71,708"
Settled in rural areas,"93,918","47,975","45,943","31,241"
Unsettled ,1,1,0,1
Kelardasht,"23,648","11,981","11,667","8,067"
Setteled in urban areas,"13,401","6,812","6,589","4,565"
Settled in rural areas,"10,247","5,169","5,078","3,502"
Unsettled ,0,0,0,0
Galugah ,"40,078","20,249","19,829","13,147"
Setteled in urban areas,"21,352","10,860","10,492","6,898"
Settled in rural areas,"18,726","9,389","9,337","6,249"
Unsettled ,0,0,0,0
Mahmoudabad ,"98,407","50,046","48,361","32,810"
Setteled in urban areas,"38,543","19,621","18,922","12,647"
Settled in rural areas,"59,864","30,425","29,439","20,163"
Unsettled ,0,0,0,0
Miandorood,"55,053","27,647","27,406","18,253"
Setteled in urban areas,"9,208","4,632","4,576","3,087"
Settled in rural areas,"45,845","23,015","22,830","15,166"
Unsettled ,0,0,0,0
Neka ,"119,511","60,094","59,417","38,178"
Setteled in urban areas,"60,991","30,756","30,235","19,357"
Settled in rural areas,"58,520","29,338","29,182","18,821"
Unsettled ,0,0,0,0
Nur,"121,531","61,228","60,303","39,350"
Setteled in urban areas,"54,281","27,263","27,018","17,417"
Settled in rural areas,"67,250","33,965","33,285","21,933"
Unsettled ,0,0,0,0
Noshahr ,"138,913","70,275","68,638","45,759"
Setteled in urban areas,"55,673","28,018","27,655","18,403"
Settled in rural areas,"83,239","42,257","40,982","27,355"
Unsettled ,1,0,1,1
          Markazi,"1,429,475","725,751","703,724","455,866"
Setteled in urban areas,"1,099,764","557,130","542,634","346,468"
Settled in rural areas,"329,690","168,601","161,089","109,378"
Unsettled ,21,20,1,20
Arak ,"591,756","300,245","291,511","188,180"
Setteled in urban areas,"531,523","268,476","263,047","169,128"
Settled in rural areas,"60,214","31,751","28,463","19,034"
Unsettled ,19,18,1,18
Ashtian,"16,357","8,238","8,119","5,582"
Setteled in urban areas,"8,763","4,503","4,260","2,788"
Settled in rural areas,"7,594","3,735","3,859","2,794"
Unsettled ,0,0,0,0
Tafresh ,"24,913","12,390","12,523","8,588"
Setteled in urban areas,"16,493","8,226","8,267","5,232"
Settled in rural areas,"8,420","4,164","4,256","3,356"
Unsettled ,0,0,0,0
Khomein ,"105,017","52,976","52,041","34,611"
Setteled in urban areas,"74,256","37,480","36,776","23,770"
Settled in rural areas,"30,761","15,496","15,265","10,841"
Unsettled ,0,0,0,0
Khondab ,"54,018","27,862","26,156","16,792"
Setteled in urban areas,"12,803","6,505","6,298","3,998"
Settled in rural areas,"41,215","21,357","19,858","12,794"
Unsettled ,0,0,0,0
Delijan,"51,621","26,372","25,249","16,453"
Setteled in urban areas,"43,494","22,201","21,293","13,484"
Settled in rural areas,"8,127","4,171","3,956","2,969"
Unsettled ,0,0,0,0
Zarandiyeh,"63,907","32,457","31,450","20,483"
Setteled in urban areas,"40,799","20,603","20,196","12,877"
Settled in rural areas,"23,108","11,854","11,254","7,606"
Unsettled ,0,0,0,0
Saveh ,"283,538","144,871","138,667","87,444"
Setteled in urban areas,"233,377","119,062","114,315","71,154"
Settled in rural areas,"50,159","25,807","24,352","16,288"
Unsettled ,2,2,0,2
Shazand ,"117,571","59,138","58,433","38,214"
Setteled in urban areas,"60,449","30,572","29,877","18,960"
Settled in rural areas,"57,122","28,566","28,556","19,254"
Unsettled ,0,0,0,0
Farahan,"28,994","14,654","14,340","9,744"
Setteled in urban areas,"8,991","4,610","4,381","2,897"
Settled in rural areas,"20,003","10,044","9,959","6,847"
Unsettled ,0,0,0,0
Komeijan ,"36,441","18,485","17,956","11,339"
Setteled in urban areas,"18,064","9,217","8,847","5,487"
Settled in rural areas,"18,377","9,268","9,109","5,852"
Unsettled ,0,0,0,0
Mahallat,"55,342","28,063","27,279","18,436"
Setteled in urban areas,"50,752","25,675","25,077","16,693"
Settled in rural areas,"4,590","2,388","2,202","1,743"
Unsettled ,0,0,0,0
       Hormozgan,"1,776,415","906,814","869,601","493,660"
Setteled in urban areas,"971,822","497,899","473,923","275,619"
Settled in rural areas,"802,512","407,739","394,773","217,321"
Unsettled ,"2,081","1,176",905,720
Abumusa ,"7,402","5,899","1,503",924
Setteled in urban areas,"4,213","2,788","1,425",857
Settled in rural areas,"3,189","3,111",78,67
Unsettled ,0,0,0,0
Bastak,"80,492","41,095","39,397","21,684"
Setteled in urban areas,"16,869","8,544","8,325","4,515"
Settled in rural areas,"63,607","32,539","31,068","17,161"
Unsettled ,16,12,4,8
Bashagerd,"35,085","17,613","17,472","9,359"
Setteled in urban areas,"2,895","1,475","1,420",714
Settled in rural areas,"32,190","16,138","16,052","8,645"
Unsettled ,0,0,0,0
Bandar Abbas,"680,366","347,202","333,164","196,220"
Setteled in urban areas,"543,218","277,484","265,734","157,563"
Settled in rural areas,"136,800","69,500","67,300","38,498"
Unsettled ,348,218,130,159
Bandar Lengeh ,"159,358","84,680","74,678","44,398"
Setteled in urban areas,"96,312","51,350","44,962","28,471"
Settled in rural areas,"63,037","33,323","29,714","15,923"
Unsettled ,9,7,2,4
Parsiyan ,"50,596","25,736","24,860","13,816"
Setteled in urban areas,"26,000","13,291","12,709","7,049"
Settled in rural areas,"24,596","12,445","12,151","6,767"
Unsettled ,0,0,0,0
Jask ,"58,884","30,110","28,774","15,211"
Setteled in urban areas,"16,860","8,777","8,083","4,415"
Settled in rural areas,"42,024","21,333","20,691","10,796"
Unsettled ,0,0,0,0
Hajiabad,"69,625","35,404","34,221","20,700"
Setteled in urban areas,"31,907","16,282","15,625","9,032"
Settled in rural areas,"36,304","18,353","17,951","11,230"
Unsettled ,"1,414",769,645,438
Khamir,"56,148","28,195","27,953","16,071"
Setteled in urban areas,"21,878","11,052","10,826","6,057"
Settled in rural areas,"34,270","17,143","17,127","10,014"
Unsettled ,0,0,0,0
Rudan,"124,522","62,114","62,408","34,561"
